name,telescope,exptime,jd,date,filename,note,nimages
dark_2460273_120s,B&C,120.0,2460272.8277479294,2023-11-23T15:02:46.10,/local/jack/src/Pouakai/output/master/dark/dark_2460273_120s.fits.gz,good,9.0
dark_2460272_90s,B&C,90.0,2460272.135046489,2023-11-23T15:14:28.04,/local/jack/src/Pouakai/output/master/dark/dark_2460272_90s.fits.gz,good,3.0
dark_2460272_60s,B&C,60.0,2460272.13423098,2023-11-23T14:59:55.10,/local/jack/src/Pouakai/output/master/dark/dark_2460272_60s.fits.gz,good,3.0
dark_2460272_300s,B&C,300.0,2460272.1306365742,2023-11-23T15:21:29.48,/local/jack/src/Pouakai/output/master/dark/dark_2460272_300s.fits.gz,good,3.0
dark_2460272_180s,B&C,180.0,2460272.137719946,2023-11-23T15:31:41.35,/local/jack/src/Pouakai/output/master/dark/dark_2460272_180s.fits.gz,good,3.0
dark_2460272_120s,B&C,120.0,2460272.136209684,2023-11-23T15:02:46.10,/local/jack/src/Pouakai/output/master/dark/dark_2460272_120s.fits.gz,good,3.0
dark_2460270_60s,B&C,60.0,2460270.137821026,2023-11-21T15:12:06.68,/local/jack/src/Pouakai/output/master/dark/dark_2460270_60s.fits.gz,good,3.0
dark_2460270_300s,B&C,300.0,2460269.740748612,2023-11-21T15:19:38.17,/local/jack/src/Pouakai/output/master/dark/dark_2460270_300s.fits.gz,good,5.0
dark_2460269_300s,B&C,300.0,2460269.150531655,2023-11-20T15:40:56.40,/local/jack/src/Pouakai/output/master/dark/dark_2460269_300s.fits.gz,bad,2.0
dark_2460269_180s,B&C,180.0,2460269.1541258106,2023-11-20T15:46:06.97,/local/jack/src/Pouakai/output/master/dark/dark_2460269_180s.fits.gz,bad,2.0
dark_2460266_60s,B&C,60.0,2460266.275076442,2023-11-17T15:52:39.01,/local/jack/src/Pouakai/output/master/dark/dark_2460266_60s.fits.gz,good,13.0
dark_2460266_30s,B&C,30.0,2460266.458549679,2023-11-18T07:58:48.88,/local/jack/src/Pouakai/output/master/dark/dark_2460266_30s.fits.gz,good,9.0
dark_2460266_300s,B&C,300.0,2460266.1850384986,2023-11-17T08:54:28.08,/local/jack/src/Pouakai/output/master/dark/dark_2460266_300s.fits.gz,good,8.0
dark_2460266_180s,B&C,180.0,2460266.82949728,2023-11-18T08:02:30.88,/local/jack/src/Pouakai/output/master/dark/dark_2460266_180s.fits.gz,bad,2.0
dark_2460266_120s,B&C,120.0,2460266.180074783,2023-11-17T08:36:30.65,/local/jack/src/Pouakai/output/master/dark/dark_2460266_120s.fits.gz,good,8.0
dark_2460265_60s,B&C,60.0,2460265.861206857,2023-11-17T08:38:34.46,/local/jack/src/Pouakai/output/master/dark/dark_2460265_60s.fits.gz,good,4.0
dark_2460265_300s,B&C,300.0,2460265.872916377,2023-11-17T08:54:28.08,/local/jack/src/Pouakai/output/master/dark/dark_2460265_300s.fits.gz,good,4.0
dark_2460265_120s,B&C,120.0,2460265.8619466145,2023-11-17T08:36:30.65,/local/jack/src/Pouakai/output/master/dark/dark_2460265_120s.fits.gz,good,4.0
dark_2460205_60s,B&C,60.0,2460204.958218036,2023-09-17T09:37:27.86,/local/jack/src/Pouakai/output/master/dark/dark_2460205_60s.fits.gz,good,6.0
dark_2460205_300s,B&C,300.0,2460204.9523991705,2023-09-17T09:29:06.84,/local/jack/src/Pouakai/output/master/dark/dark_2460205_300s.fits.gz,good,6.0
dark_2460205_180s,B&C,180.0,2460204.956013542,2023-09-17T09:43:48.96,/local/jack/src/Pouakai/output/master/dark/dark_2460205_180s.fits.gz,good,6.0
dark_2460204_60s,B&C,60.0,2460204.901016976,2023-09-17T09:37:27.86,/local/jack/src/Pouakai/output/master/dark/dark_2460204_60s.fits.gz,good,3.0
dark_2460204_300s,B&C,300.0,2460204.895178549,2023-09-17T09:29:06.84,/local/jack/src/Pouakai/output/master/dark/dark_2460204_300s.fits.gz,good,3.0
dark_2460204_180s,B&C,180.0,2460204.8988125003,2023-09-17T09:43:48.96,/local/jack/src/Pouakai/output/master/dark/dark_2460204_180s.fits.gz,good,3.0
dark_2460191_5s,B&C,5.0,2460191.804018565,2023-09-04T07:17:47.23,/local/jack/src/Pouakai/output/master/dark/dark_2460191_5s.fits.gz,good,5.0
dark_2460191_300s,B&C,300.0,2460191.526069509,2023-09-04T07:26:49.84,/local/jack/src/Pouakai/output/master/dark/dark_2460191_300s.fits.gz,good,9.0
dark_2460191_2s,B&C,2.0,2460191.8043969907,2023-09-04T07:02:09.46,/local/jack/src/Pouakai/output/master/dark/dark_2460191_2s.fits.gz,good,5.0
dark_2460191_20s,B&C,20.0,2460191.804120833,2023-09-04T07:17:56.02,/local/jack/src/Pouakai/output/master/dark/dark_2460191_20s.fits.gz,good,5.0
dark_2460191_15s,B&C,15.0,2460191.79884838,2023-09-04T07:10:20.59,/local/jack/src/Pouakai/output/master/dark/dark_2460191_15s.fits.gz,good,5.0
dark_2460191_120s,B&C,120.0,2460191.5734941694,2023-09-04T07:15:43.34,/local/jack/src/Pouakai/output/master/dark/dark_2460191_120s.fits.gz,good,8.0
